ts_start,ts_end,price
2023-09-28 02:00:00,2023-09-28 03:00:00,0.020550
2023-09-28 01:00:00,2023-09-28 02:00:00,0.088020
2023-09-28 00:00:00,2023-09-28 01:00:00,0.020060
2023-09-27 23:00:00,2023-09-28 00:00:00,0.010090
2023-09-27 22:00:00,2023-09-27 23:00:00,0.107790
2023-09-27 21:00:00,2023-09-27 22:00:00,0.141550
2023-09-27 20:00:00,2023-09-27 21:00:00,0.211520
2023-09-27 19:00:00,2023-09-27 20:00:00,0.191900
2023-09-27 18:00:00,2023-09-27 19:00:00,0.146380
2023-09-27 17:00:00,2023-09-27 18:00:00,0.107890
2023-09-27 16:00:00,2023-09-27 17:00:00,0.093480
2023-09-27 15:00:00,2023-09-27 16:00:00,0.088950
2023-09-27 14:00:00,2023-09-27 15:00:00,0.087340
2023-09-27 13:00:00,2023-09-27 14:00:00,0.090200
2023-09-27 12:00:00,2023-09-27 13:00:00,0.093260
2023-09-27 11:00:00,2023-09-27 12:00:00,0.102330
2023-09-27 10:00:00,2023-09-27 11:00:00,0.131230
2023-09-27 09:00:00,2023-09-27 10:00:00,0.174070
2023-09-27 08:00:00,2023-09-27 09:00:00,0.217360
2023-09-27 07:00:00,2023-09-27 08:00:00,0.141170
2023-09-27 06:00:00,2023-09-27 07:00:00,0.108490
2023-09-27 05:00:00,2023-09-27 06:00:00,0.100810
2023-09-27 04:00:00,2023-09-27 05:00:00,0.001310
2023-09-27 03:00:00,2023-09-27 04:00:00,0.001340
2023-09-27 02:00:00,2023-09-27 03:00:00,0.001170
2023-09-27 01:00:00,2023-09-27 02:00:00,0.007790
2023-09-27 00:00:00,2023-09-27 01:00:00,0.009660
2023-09-26 23:00:00,2023-09-27 00:00:00,0.108060
2023-09-26 22:00:00,2023-09-26 23:00:00,0.126270
2023-09-26 21:00:00,2023-09-26 22:00:00,0.160340
2023-09-26 20:00:00,2023-09-26 21:00:00,0.242410
2023-09-26 19:00:00,2023-09-26 20:00:00,0.177080
2023-09-26 18:00:00,2023-09-26 19:00:00,0.135260
2023-09-26 17:00:00,2023-09-26 18:00:00,0.104510
2023-09-26 16:00:00,2023-09-26 17:00:00,0.098020
2023-09-26 15:00:00,2023-09-26 16:00:00,0.088440
2023-09-26 14:00:00,2023-09-26 15:00:00,0.078740
2023-09-26 13:00:00,2023-09-26 14:00:00,0.088750
2023-09-26 12:00:00,2023-09-26 13:00:00,0.092980
2023-09-26 11:00:00,2023-09-26 12:00:00,0.100410
2023-09-26 10:00:00,2023-09-26 11:00:00,0.116620
2023-09-26 09:00:00,2023-09-26 10:00:00,0.159560
2023-09-26 08:00:00,2023-09-26 09:00:00,0.258140
2023-09-26 07:00:00,2023-09-26 08:00:00,0.150720
2023-09-26 06:00:00,2023-09-26 07:00:00,0.107990
2023-09-26 05:00:00,2023-09-26 06:00:00,0.104430
2023-09-26 04:00:00,2023-09-26 05:00:00,0.089090
2023-09-26 03:00:00,2023-09-26 04:00:00,0.034790
2023-09-26 02:00:00,2023-09-26 03:00:00,0.089020
2023-09-26 01:00:00,2023-09-26 02:00:00,0.104190
2023-09-26 00:00:00,2023-09-26 01:00:00,0.004580
2023-09-25 23:00:00,2023-09-26 00:00:00,0.123070
2023-09-25 22:00:00,2023-09-25 23:00:00,0.136140
2023-09-25 21:00:00,2023-09-25 22:00:00,0.209790
2023-09-25 20:00:00,2023-09-25 21:00:00,0.365570
2023-09-25 19:00:00,2023-09-25 20:00:00,0.196000
2023-09-25 18:00:00,2023-09-25 19:00:00,0.126110
2023-09-25 17:00:00,2023-09-25 18:00:00,0.097460
2023-09-25 16:00:00,2023-09-25 17:00:00,0.092060
2023-09-25 15:00:00,2023-09-25 16:00:00,0.084090
2023-09-25 14:00:00,2023-09-25 15:00:00,0.076110
2023-09-25 13:00:00,2023-09-25 14:00:00,0.076890
2023-09-25 12:00:00,2023-09-25 13:00:00,0.089010
2023-09-25 11:00:00,2023-09-25 12:00:00,0.094170
2023-09-25 10:00:00,2023-09-25 11:00:00,0.118320
2023-09-25 09:00:00,2023-09-25 10:00:00,0.143000
2023-09-25 08:00:00,2023-09-25 09:00:00,0.139150
2023-09-25 07:00:00,2023-09-25 08:00:00,0.108480
2023-09-25 06:00:00,2023-09-25 07:00:00,0.050200
2023-09-25 05:00:00,2023-09-25 06:00:00,0.000490
2023-09-25 04:00:00,2023-09-25 05:00:00,0.000080
2023-09-25 03:00:00,2023-09-25 04:00:00,0.001090
2023-09-25 02:00:00,2023-09-25 03:00:00,0.010000
2023-09-25 01:00:00,2023-09-25 02:00:00,0.034630
2023-09-25 00:00:00,2023-09-25 01:00:00,0.040000
2023-09-24 23:00:00,2023-09-25 00:00:00,0.097800
2023-09-24 22:00:00,2023-09-24 23:00:00,0.105000
2023-09-24 21:00:00,2023-09-24 22:00:00,0.134980
2023-09-24 20:00:00,2023-09-24 21:00:00,0.157290
2023-09-24 19:00:00,2023-09-24 20:00:00,0.135410
2023-09-24 18:00:00,2023-09-24 19:00:00,0.102640
2023-09-24 17:00:00,2023-09-24 18:00:00,0.005210
2023-09-24 16:00:00,2023-09-24 17:00:00,-0.000030
2023-09-24 15:00:00,2023-09-24 16:00:00,-0.001980
2023-09-24 14:00:00,2023-09-24 15:00:00,-0.002620
2023-09-24 13:00:00,2023-09-24 14:00:00,-0.000030
2023-09-24 12:00:00,2023-09-24 13:00:00,0.000850
2023-09-24 11:00:00,2023-09-24 12:00:00,0.001060
2023-09-24 10:00:00,2023-09-24 11:00:00,0.010060
2023-09-24 09:00:00,2023-09-24 10:00:00,0.040010
2023-09-24 08:00:00,2023-09-24 09:00:00,0.010080
2023-09-24 07:00:00,2023-09-24 08:00:00,0.078660
2023-09-24 06:00:00,2023-09-24 07:00:00,0.001180
2023-09-24 05:00:00,2023-09-24 06:00:00,0.000940
2023-09-24 04:00:00,2023-09-24 05:00:00,0.001040
2023-09-24 03:00:00,2023-09-24 04:00:00,0.001360
2023-09-24 02:00:00,2023-09-24 03:00:00,0.001700
2023-09-24 01:00:00,2023-09-24 02:00:00,0.098710
2023-09-24 00:00:00,2023-09-24 01:00:00,0.100090
2023-09-23 23:00:00,2023-09-24 00:00:00,0.106920
2023-09-23 22:00:00,2023-09-23 23:00:00,0.129020
2023-09-23 21:00:00,2023-09-23 22:00:00,0.145000
2023-09-23 20:00:00,2023-09-23 21:00:00,0.155970
2023-09-23 19:00:00,2023-09-23 20:00:00,0.136400
2023-09-23 18:00:00,2023-09-23 19:00:00,0.132760
2023-09-23 17:00:00,2023-09-23 18:00:00,0.129020
2023-09-23 16:00:00,2023-09-23 17:00:00,0.114210
2023-09-23 15:00:00,2023-09-23 16:00:00,0.180020
2023-09-23 14:00:00,2023-09-23 15:00:00,0.145160
2023-09-23 13:00:00,2023-09-23 14:00:00,0.103670
2023-09-23 12:00:00,2023-09-23 13:00:00,0.084900
2023-09-23 11:00:00,2023-09-23 12:00:00,0.090750
2023-09-23 10:00:00,2023-09-23 11:00:00,0.104680
2023-09-23 09:00:00,2023-09-23 10:00:00,0.109990
2023-09-23 08:00:00,2023-09-23 09:00:00,0.107200
2023-09-23 07:00:00,2023-09-23 08:00:00,0.098880
2023-09-23 06:00:00,2023-09-23 07:00:00,0.091780
2023-09-23 05:00:00,2023-09-23 06:00:00,0.089380
2023-09-23 04:00:00,2023-09-23 05:00:00,0.091720
2023-09-23 03:00:00,2023-09-23 04:00:00,0.097050
2023-09-23 02:00:00,2023-09-23 03:00:00,0.101270
2023-09-23 01:00:00,2023-09-23 02:00:00,0.109040
2023-09-23 00:00:00,2023-09-23 01:00:00,0.103060
2023-09-22 23:00:00,2023-09-23 00:00:00,0.105930
2023-09-22 22:00:00,2023-09-22 23:00:00,0.123980
2023-09-22 21:00:00,2023-09-22 22:00:00,0.139570
2023-09-22 20:00:00,2023-09-22 21:00:00,0.158200
2023-09-22 19:00:00,2023-09-22 20:00:00,0.135100
2023-09-22 18:00:00,2023-09-22 19:00:00,0.150020
2023-09-22 17:00:00,2023-09-22 18:00:00,0.108080
2023-09-22 16:00:00,2023-09-22 17:00:00,0.084010
2023-09-22 15:00:00,2023-09-22 16:00:00,0.077290
2023-09-22 14:00:00,2023-09-22 15:00:00,0.078420
2023-09-22 13:00:00,2023-09-22 14:00:00,0.100500
2023-09-22 12:00:00,2023-09-22 13:00:00,0.090930
2023-09-22 11:00:00,2023-09-22 12:00:00,0.099640
2023-09-22 10:00:00,2023-09-22 11:00:00,0.107180
2023-09-22 09:00:00,2023-09-22 10:00:00,0.135350
2023-09-22 08:00:00,2023-09-22 09:00:00,0.135960
2023-09-22 07:00:00,2023-09-22 08:00:00,0.108400
2023-09-22 06:00:00,2023-09-22 07:00:00,0.088900
2023-09-22 05:00:00,2023-09-22 06:00:00,0.085190
2023-09-22 04:00:00,2023-09-22 05:00:00,0.084290
2023-09-22 03:00:00,2023-09-22 04:00:00,0.085610
2023-09-22 02:00:00,2023-09-22 03:00:00,0.087160
2023-09-22 01:00:00,2023-09-22 02:00:00,0.088310
2023-09-22 00:00:00,2023-09-22 01:00:00,0.094750
2023-09-21 23:00:00,2023-09-22 00:00:00,0.100100
2023-09-21 22:00:00,2023-09-21 23:00:00,0.114800
2023-09-21 21:00:00,2023-09-21 22:00:00,0.151630
2023-09-21 20:00:00,2023-09-21 21:00:00,0.266770
2023-09-21 19:00:00,2023-09-21 20:00:00,0.188070
2023-09-21 18:00:00,2023-09-21 19:00:00,0.400040
2023-09-21 17:00:00,2023-09-21 18:00:00,0.150090
2023-09-21 16:00:00,2023-09-21 17:00:00,0.150010
2023-09-21 15:00:00,2023-09-21 16:00:00,0.082410
2023-09-21 14:00:00,2023-09-21 15:00:00,0.074220
2023-09-21 13:00:00,2023-09-21 14:00:00,0.075190
2023-09-21 12:00:00,2023-09-21 13:00:00,0.078840
2023-09-21 11:00:00,2023-09-21 12:00:00,0.093150
2023-09-21 10:00:00,2023-09-21 11:00:00,0.150020
2023-09-21 09:00:00,2023-09-21 10:00:00,0.311250
2023-09-21 08:00:00,2023-09-21 09:00:00,0.500000
2023-09-21 07:00:00,2023-09-21 08:00:00,0.150060
2023-09-21 06:00:00,2023-09-21 07:00:00,0.135010
2023-09-21 05:00:00,2023-09-21 06:00:00,0.135060
2023-09-21 04:00:00,2023-09-21 05:00:00,0.135010
2023-09-21 03:00:00,2023-09-21 04:00:00,0.080100
2023-09-21 02:00:00,2023-09-21 03:00:00,0.135010
2023-09-21 01:00:00,2023-09-21 02:00:00,0.075740
2023-09-21 00:00:00,2023-09-21 01:00:00,0.098290
2023-09-20 23:00:00,2023-09-21 00:00:00,0.107570
2023-09-20 22:00:00,2023-09-20 23:00:00,0.148860
2023-09-20 21:00:00,2023-09-20 22:00:00,0.179020
2023-09-20 20:00:00,2023-09-20 21:00:00,0.195220
2023-09-20 19:00:00,2023-09-20 20:00:00,0.172120
2023-09-20 18:00:00,2023-09-20 19:00:00,0.157870
2023-09-20 17:00:00,2023-09-20 18:00:00,0.135010
2023-09-20 16:00:00,2023-09-20 17:00:00,0.095880
2023-09-20 15:00:00,2023-09-20 16:00:00,0.090310
2023-09-20 14:00:00,2023-09-20 15:00:00,0.088620
2023-09-20 13:00:00,2023-09-20 14:00:00,0.132910
2023-09-20 12:00:00,2023-09-20 13:00:00,0.085000
2023-09-20 11:00:00,2023-09-20 12:00:00,0.091160
2023-09-20 10:00:00,2023-09-20 11:00:00,0.089840
2023-09-20 09:00:00,2023-09-20 10:00:00,0.105390
2023-09-20 08:00:00,2023-09-20 09:00:00,0.147570
2023-09-20 07:00:00,2023-09-20 08:00:00,0.124770
2023-09-20 06:00:00,2023-09-20 07:00:00,0.100760
2023-09-20 05:00:00,2023-09-20 06:00:00,0.081100
2023-09-20 04:00:00,2023-09-20 05:00:00,0.081050
2023-09-20 03:00:00,2023-09-20 04:00:00,0.081080
2023-09-20 02:00:00,2023-09-20 03:00:00,0.088610
2023-09-20 01:00:00,2023-09-20 02:00:00,0.096820
2023-09-20 00:00:00,2023-09-20 01:00:00,0.085150
2023-09-19 23:00:00,2023-09-20 00:00:00,0.103930
2023-09-19 22:00:00,2023-09-19 23:00:00,0.145510
2023-09-19 21:00:00,2023-09-19 22:00:00,0.165510
2023-09-19 20:00:00,2023-09-19 21:00:00,0.170100
2023-09-19 19:00:00,2023-09-19 20:00:00,0.151910
2023-09-19 18:00:00,2023-09-19 19:00:00,0.141050
2023-09-19 17:00:00,2023-09-19 18:00:00,0.102430
2023-09-19 16:00:00,2023-09-19 17:00:00,0.085150
2023-09-19 15:00:00,2023-09-19 16:00:00,0.073800
2023-09-19 14:00:00,2023-09-19 15:00:00,0.139650
2023-09-19 13:00:00,2023-09-19 14:00:00,0.094860
2023-09-19 12:00:00,2023-09-19 13:00:00,0.095740
2023-09-19 11:00:00,2023-09-19 12:00:00,0.102310
2023-09-19 10:00:00,2023-09-19 11:00:00,0.100460
2023-09-19 09:00:00,2023-09-19 10:00:00,0.131500
2023-09-19 08:00:00,2023-09-19 09:00:00,0.140140
2023-09-19 07:00:00,2023-09-19 08:00:00,0.131680
2023-09-19 06:00:00,2023-09-19 07:00:00,0.088270
2023-09-19 05:00:00,2023-09-19 06:00:00,0.027760
2023-09-19 04:00:00,2023-09-19 05:00:00,0.001750
2023-09-19 03:00:00,2023-09-19 04:00:00,0.001730
2023-09-19 02:00:00,2023-09-19 03:00:00,0.003070
2023-09-19 01:00:00,2023-09-19 02:00:00,0.000670
2023-09-19 00:00:00,2023-09-19 01:00:00,0.073280
2023-09-18 23:00:00,2023-09-19 00:00:00,0.093080
2023-09-18 22:00:00,2023-09-18 23:00:00,0.108310
2023-09-18 21:00:00,2023-09-18 22:00:00,0.139050
2023-09-18 20:00:00,2023-09-18 21:00:00,0.250020
2023-09-18 19:00:00,2023-09-18 20:00:00,0.250070
2023-09-18 18:00:00,2023-09-18 19:00:00,0.250030
2023-09-18 17:00:00,2023-09-18 18:00:00,0.139080
2023-09-18 16:00:00,2023-09-18 17:00:00,0.152060
2023-09-18 15:00:00,2023-09-18 16:00:00,0.152030
2023-09-18 14:00:00,2023-09-18 15:00:00,0.040010
2023-09-18 13:00:00,2023-09-18 14:00:00,0.128950
2023-09-18 12:00:00,2023-09-18 13:00:00,0.074300
2023-09-18 11:00:00,2023-09-18 12:00:00,0.139030
2023-09-18 10:00:00,2023-09-18 11:00:00,0.139090
2023-09-18 09:00:00,2023-09-18 10:00:00,0.180020
2023-09-18 08:00:00,2023-09-18 09:00:00,0.300080
